id,depair,destair,indepartcode,inarrivecode,outflightno,outdepartdate,outdeparttime,outarrivaldate,outarrivaltime,outbookingclass,outflightclass,outcarriercode,inflightno,indepartdate,indeparttime,inarrivaldate,inarrivaltime,inbookingclass,inflightclass,incarriercode,originalprice,originalcurrency,reservation,carrier,oneway
1623864,MAN,AUH,DEL,MAN,QR24,2018-01-01,21:00:00,2018-01-02,10:30:00,,Economy,QR,QR571,2018-01-22,09:45:00,2018-01-22,19:20:00,,Economy,QR,1112.100,GBP,4R8PQM,"Qatar Airways",0
1686618,LHR,DXB,DEL,LHR,VS400,2018-01-01,22:35:00,2018-01-02,09:40:00,,Business,VS,VS301,2018-01-20,14:00:00,2018-01-20,17:55:00,,Business,VS,3344.740,GBP,KBJRF7,"Virgin Atlantic",0
1694875,LHR,DXB,DEL,LHR,VS400,2018-01-01,22:35:00,2018-01-02,09:40:00,,Business,VS,VS301,2018-01-20,14:00:00,2018-01-20,17:55:00,,Business,VS,3800.540,GBP,QOQMUU,"Virgin Atlantic",0
1768256,LHR,DXB,DEL,LHR,VS400,2018-01-01,21:55:00,2018-01-02,09:00:00,,Economy,VS,VS301,2018-01-20,14:00:00,2018-01-20,17:55:00,,Economy,VS,958.740,GBP,KVWM9M,"Virgin Atlantic",0
1709771,GLA,MIA,SJO,GLA,BA1477,2018-01-02,08:55:00,2018-01-02,17:40:00,,Business,BA,AA1238,2018-01-17,11:38:00,2018-01-18,14:30:00,,Business,AA,10021.560,GBP,N42GQL,"British Airways",0
1729287,LHR,LAX,LAX,LHR,BA269,2018-01-02,15:15:00,2018-01-02,18:30:00,,Economy,BA,BA1540,2018-01-18,17:25:00,2018-01-19,12:05:00,,Economy,BA,815.540,GBP,UIMBTO,"British Airways",0
1723487,LHR,HAV,HAV,LHR,BA514,2018-01-02,10:40:00,2018-01-02,20:25:00,,Economy,BA,BA4214,2018-01-16,22:15:00,2018-01-17,16:20:00,,Economy,BA,1884.400,GBP,USPHTG,Iberia,0
1616264,LHR,SYD,SYD,LHR,MH3,2018-01-02,10:00:00,2018-01-03,19:45:00,,Economy,MH,MH122,2018-01-21,14:30:00,2018-01-22,05:35:00,,Economy,MH,1767.340,GBP,4AAZH9,"Malaysia Airlines",0
1766497,SYD,MEL,MEL,SYD,QF417,2018-01-02,08:30:00,2018-01-02,10:05:00,,Economy,QF,QF430,2018-01-14,12:00:00,2018-01-14,13:25:00,,Economy,QF,556.000,AUD,TTN5ER,"Qantas Airways",0
1838013,HKG,TPA,TPA,HKG,UA7988,2018-01-02,10:00:00,2018-01-02,21:14:00,,Economy,UA,UA588,2018-01-05,06:15:00,2018-01-06,20:05:00,,Economy,UA,3481.600,GBP,AMDTEST,"All Nippon",0
1767884,MEL,SYD,SYD,MEL,VA823,2018-01-02,08:30:00,2018-01-02,09:55:00,,Economy,VA,VA886,2018-01-14,19:30:00,2018-01-14,21:05:00,,Economy,VA,984.880,AUD,JYH6XS,"Virgin Australia",0
1769535,MEL,SYD,SYD,MEL,VA823,2018-01-02,08:30:00,2018-01-02,09:55:00,,Economy,VA,VA892,2018-01-14,20:30:00,2018-01-14,22:05:00,,Economy,VA,492.440,AUD,OAPPAM,"Virgin Australia",0
1771212,MEL,SYD,SYD,MEL,VA823,2018-01-02,08:30:00,2018-01-02,09:55:00,,Economy,VA,VA892,2018-01-14,20:30:00,2018-01-14,22:05:00,,Economy,VA,492.440,AUD,TW7ES8,"Virgin Australia",0
1801097,LGW,FLL,,,DY7045,2018-01-03,14:55:00,2018-01-03,19:35:00,,Business,DY,,,00:00:00,,00:00:00,,,,684.200,GBP,RSKLQQ,"Norwegian Shuttle",1
1805120,MAN,HKG,SIN,MAN,EY16,2018-01-03,08:10:00,2018-01-04,09:10:00,,Economy,EY,EY473,2018-01-21,19:25:00,2018-01-22,06:40:00,,Economy,EY,1119.480,GBP,PWGRJC,"Etihad Airways",0
1674031,GLA,AMS,AMS,GLA,KL1470,2018-01-03,06:00:00,2018-01-03,08:45:00,,Economy,KL,KL1471,2018-01-07,08:05:00,2018-01-07,08:35:00,,Economy,KL,177.780,GBP,ROY3MP,KLM,0
1797785,MEL,SYD,,,QF426,2018-01-03,11:00:00,2018-01-03,12:25:00,,Economy,QF,,,00:00:00,,00:00:00,,,,506.970,AUD,WIQLZM,"Qantas Airways",1
1758154,LHR,HKG,SIN,LHR,QR4,2018-01-03,14:15:00,2018-01-04,14:45:00,,Economy,QR,QR947,2018-01-21,20:25:00,2018-01-22,06:20:00,,Economy,QR,966.140,GBP,WW7D4D,"Qatar Airways",0
1635395,LHR,LAX,MIA,LHR,BA1545,2018-01-04,11:35:00,2018-01-04,15:05:00,,Economy,BA,IB4634,2018-01-19,17:25:00,2018-01-20,06:45:00,,Economy,IB,1049.940,GBP,5N5YZJ,"American Airlines",0
1734687,LHR,PER,SYD,LHR,CX238,2018-01-04,17:15:00,2018-01-05,22:35:00,,"Premium Economy",CX,CX100,2018-02-04,15:50:00,2018-02-05,06:20:00,,"Premium Economy",CX,4436.740,GBP,UAINZA,"Cathay Pacific",0
1736495,GLA,JFK,JFK,GLA,EI3221,2018-01-04,08:30:00,2018-01-04,13:40:00,,Economy,EI,EI108,2018-01-08,21:10:00,2018-01-09,11:10:00,,Economy,EI,825.180,GBP,KI7RD4,"Aer Lingus",0
1786341,LHR,SCL,EZE,LHR,IB3167,2018-01-04,18:35:00,2018-01-05,09:05:00,,Economy,IB,BA244,2018-01-23,14:20:00,2018-01-24,06:35:00,,Economy,BA,2127.000,GBP,W2LHQ4,"British Airways",0
1796081,MAN,HKG,SIN,MAN,QR24,2018-01-04,20:50:00,2018-01-05,21:25:00,,Economy,QR,QR947,2018-01-21,20:25:00,2018-01-22,05:50:00,,Economy,QR,961.880,GBP,PYPNTB,"Qatar Airways",0
1609819,LHR,BNE,,,SQ305,2018-01-04,09:15:00,2018-01-05,19:45:00,,Economy,SQ,,,00:00:00,,00:00:00,,,,556.670,GBP,3SNN22,"Singapore Airlines",1
1762740,MAN,EWR,EWR,MAN,UA80,2018-01-04,09:00:00,2018-01-04,12:20:00,,Economy,UA,UA81,2018-01-19,19:30:00,2018-01-20,07:15:00,,Economy,UA,1046.080,GBP,WK7IYG,United,0
1849281,MAN,JFK,JFK,MAN,VS127,2018-01-04,10:35:00,2018-01-04,13:15:00,,Economy,VS,VS4841,2018-01-19,13:35:00,2018-01-20,07:25:00,,Economy,VS,894.080,GBP,P8BOVP,"Virgin Atlantic",0
1657959,LHR,LAX,MIA,LHR,VS23,2018-01-04,15:30:00,2018-01-04,18:40:00,,Economy,VS,DL4387,2018-01-19,21:40:00,2018-01-20,11:00:00,,Economy,DL,963.140,GBP,P8NRZA,"Virgin Atlantic",0
1814972,LHR,JFK,JFK,LHR,VS3,2018-01-04,08:50:00,2018-01-04,12:00:00,,"Premium Economy",VS,VS4,2018-01-19,18:30:00,2018-01-20,06:30:00,,"Premium Economy",VS,1492.220,GBP,R6EBTE,"Virgin Atlantic",0
1812068,GLA,MCO,MCO,GLA,BA2953,2018-01-05,07:05:00,2018-01-05,16:25:00,,Economy,BA,BA2036,2018-01-29,18:25:00,2018-01-30,12:55:00,,Economy,BA,811.440,GBP,WSDTW3,"British Airways",0
1686609,LGW,FLL,FLL,LGW,DY7045,2018-01-05,14:55:00,2018-01-05,19:35:00,,Economy,DY,DY7046,2018-01-14,22:20:00,2018-01-15,11:30:00,,Economy,DY,1009.000,GBP,KBBMPF,"Norwegian Shuttle",0
1747866,DXB,MAN,,,EK21,2018-01-05,03:00:00,2018-01-05,07:00:00,,Economy,EK,,,00:00:00,,00:00:00,,,,824.800,GBP,KKLLJD,Emirates,1
1712681,MEL,SYD,SYD,MEL,VA837,2018-01-05,11:00:00,2018-01-05,12:25:00,,Economy,VA,VA866,2018-01-22,17:00:00,2018-01-22,18:35:00,,Economy,VA,399.400,AUD,WBIQ2M,"Virgin Australia",0
1712684,MEL,SYD,SYD,MEL,VA837,2018-01-05,11:00:00,2018-01-05,12:25:00,,Economy,VA,VA858,2018-01-21,16:00:00,2018-01-21,17:35:00,,Economy,VA,399.400,AUD,WC6O2I,"Virgin Australia",0
1731061,MAN,MIA,MIA,MAN,BA1389,2018-01-06,09:55:00,2018-01-06,18:10:00,,Economy,BA,DL1359,2018-01-21,15:10:00,2018-01-22,07:00:00,,Economy,DL,1288.380,GBP,KA3R4J,"British Airways",0
1738865,EDI,DEL,SIN,EDI,BA1455,2018-01-06,16:35:00,2018-01-07,08:50:00,,Economy,BA,BA16,2018-01-31,22:55:00,2018-02-01,07:45:00,,Economy,BA,1265.060,GBP,QDU8UN,"British Airways",0
1696933,MAN,MCO,MCO,MAN,EI203,2018-01-06,08:15:00,2018-01-06,19:00:00,,Economy,EI,EI120,2018-01-25,20:50:00,2018-01-26,12:20:00,,Economy,EI,875.580,GBP,WWNMWH,"Aer Lingus",0
1636219,LGW,DEL,SIN,LGW,EK16,2018-01-06,13:35:00,2018-01-07,09:10:00,,Economy,EK,EK355,2018-01-29,21:00:00,2018-01-30,06:40:00,,Economy,EK,980.940,GBP,5Q7PJG,Emirates,0
1674262,LGW,SIN,SIN,LGW,EK16,2018-01-06,13:35:00,2018-01-07,14:40:00,,Economy,EK,EK355,2018-01-24,21:00:00,2018-01-25,06:40:00,,Economy,EK,1027.140,GBP,SE6LFI,Emirates,0
1696981,LHR,SIN,SIN,LHR,EK2,2018-01-06,13:40:00,2018-01-07,14:40:00,,Economy,EK,EK355,2018-01-20,21:00:00,2018-01-21,06:50:00,,Economy,EK,1067.140,GBP,WZ95TT,Emirates,0
1696985,LHR,SIN,SIN,LHR,EK2,2018-01-06,13:40:00,2018-01-07,14:40:00,,Economy,EK,EK355,2018-01-20,21:00:00,2018-01-21,06:50:00,,Economy,EK,533.570,GBP,WZKXD7,Emirates,0
1701782,LHR,SIN,SIN,LHR,EK2,2018-01-06,13:40:00,2018-01-07,14:40:00,,Economy,EK,EK355,2018-01-24,21:00:00,2018-01-25,06:50:00,,Economy,EK,1066.740,GBP,UPPPDA,Emirates,0
1701798,LHR,SIN,SIN,LHR,EK2,2018-01-06,13:40:00,2018-01-07,14:40:00,,Economy,EK,EK355,2018-01-24,21:00:00,2018-01-25,06:50:00,,Economy,EK,1066.740,GBP,UQ8SNV,Emirates,0
1759013,LHR,DEL,SIN,LHR,EK30,2018-01-06,16:15:00,2018-01-07,08:40:00,,Economy,EK,EK355,2018-02-04,21:00:00,2018-02-05,06:45:00,,Economy,EK,996.740,GBP,KV7THI,Emirates,0
1722773,LHR,EWR,EWR,LHR,IB4623,2018-01-06,10:50:00,2018-01-06,14:05:00,,Economy,IB,IB4622,2018-01-19,18:40:00,2018-01-20,06:30:00,,Economy,IB,737.540,GBP,SVQ949,"British Airways",0
1786216,EDI,EWR,EWR,EDI,UA39,2018-01-06,09:05:00,2018-01-06,12:00:00,,Economy,UA,LH7642,2018-01-10,20:00:00,2018-01-11,07:35:00,,Economy,LH,930.280,GBP,VPO96Q,United,0
1716585,LHR,MIA,MIA,LHR,VS117,2018-01-06,09:25:00,2018-01-06,14:40:00,,Economy,VS,VS118,2018-01-21,18:00:00,2018-01-22,07:30:00,,Economy,VS,833.540,GBP,RBTWAU,"Virgin Atlantic",0
1776211,LHR,MIA,MIA,LHR,VS117,2018-01-06,09:40:00,2018-01-06,14:50:00,,Economy,VS,VS6,2018-01-14,20:45:00,2018-01-15,10:05:00,,Economy,VS,896.740,GBP,UZMFVJ,"Virgin Atlantic",0
1809525,LGW,MCO,MCO,LGW,VS15,2018-01-06,13:00:00,2018-01-06,17:35:00,,Economy,VS,VS28,2018-01-28,18:35:00,2018-01-29,07:35:00,,Economy,VS,851.400,GBP,ODPJCE,"Virgin Atlantic",0
1763635,LHR,MIA,MIA,LHR,VS5,2018-01-06,13:20:00,2018-01-06,18:10:00,,Economy,VS,DL4387,2018-01-21,21:40:00,2018-01-22,11:00:00,,Economy,DL,942.140,GBP,KP7T6A,"Virgin Atlantic",0
1767758,LHR,MIA,MIA,LHR,VS5,2018-01-06,12:25:00,2018-01-06,17:10:00,,Economy,VS,DL4387,2018-01-21,21:40:00,2018-01-22,11:00:00,,Economy,DL,941.740,GBP,J9TULH,"Virgin Atlantic",0
1636614,LHR,SIN,SIN,LHR,EK8,2018-01-07,09:10:00,2018-01-08,08:30:00,,Economy,EK,EK355,2018-01-20,21:00:00,2018-01-21,06:50:00,,Economy,EK,979.340,GBP,5RXPEK,Emirates,0
1678837,LHR,SIN,MEL,LHR,EK8,2018-01-07,09:10:00,2018-01-08,08:40:00,,Economy,EK,EK5009,2018-02-10,23:25:00,2018-02-11,12:40:00,,Economy,EK,1258.740,GBP,RQEJ4E,Emirates,0
1699288,LHR,SIN,SIN,LHR,EK8,2018-01-07,09:10:00,2018-01-08,08:40:00,,Economy,EK,EK353,2018-01-25,10:25:00,2018-01-25,20:00:00,,Economy,EK,976.740,GBP,OCPQ7N,Emirates,0
1730196,LHR,SIN,SIN,LHR,EK8,2018-01-07,09:10:00,2018-01-08,08:25:00,,Economy,EK,EK355,2018-01-24,21:00:00,2018-01-25,06:50:00,,Economy,EK,1953.480,GBP,WE342Z,Emirates,0
1804306,LHR,SIN,SIN,LHR,EK8,2018-01-07,09:10:00,2018-01-08,08:25:00,,Economy,EK,EK355,2018-01-24,21:00:00,2018-01-25,06:45:00,,Economy,EK,1255.740,GBP,NS8STB,Emirates,0
1783363,BHD,DXB,DXB,BHD,EI34,2018-01-08,13:05:00,2018-01-09,08:35:00,,Economy,EI,BA106,2018-01-12,02:25:00,2018-01-12,12:25:00,,Economy,BA,763.500,GBP,NBT5B8,"Aer Lingus",0
1680126,MEL,SIN,SIN,MEL,SQ238,2018-01-08,11:25:00,2018-01-08,16:05:00,,Economy,SQ,SQ237,2018-01-24,23:45:00,2018-01-25,10:10:00,,Economy,SQ,2096.780,AUD,V5CX8I,"Singapore Airlines",0
1680139,MEL,SIN,SIN,MEL,SQ238,2018-01-08,11:25:00,2018-01-08,16:05:00,,Economy,SQ,SQ237,2018-01-24,23:45:00,2018-01-25,10:10:00,,Economy,SQ,2096.780,AUD,V95JZO,"Singapore Airlines",0
1738843,NCL,DXB,DXB,NCL,EK36,2018-01-09,13:00:00,2018-01-10,00:15:00,,Economy,EK,EK35,2018-01-20,07:25:00,2018-01-20,11:20:00,,Economy,EK,833.280,GBP,QDANLD,Emirates,0
1706530,MAN,HKT,HKT,MAN,EK22,2018-01-10,08:45:00,2018-01-11,08:00:00,,Economy,EK,EK379,2018-01-24,00:50:00,2018-01-24,11:20:00,,Economy,EK,962.480,GBP,TADBEN,Emirates,0
1819568,MAN,EWR,EWR,MAN,UA80,2018-01-10,09:00:00,2018-01-10,12:20:00,,Economy,UA,UA81,2018-01-23,19:30:00,2018-01-24,07:15:00,,Economy,UA,921.880,GBP,UTE9LR,United,0
1736775,LHR,AUH,SIN,LHR,AF1081,2018-01-11,06:15:00,2018-01-11,20:20:00,,Economy,AF,AF257,2018-01-29,23:05:00,2018-01-30,07:45:00,,Economy,AF,843.000,GBP,LU8I2N,"Air France",0
1739169,LHR,MIA,MIA,LHR,IB4635,2018-01-11,09:15:00,2018-01-11,14:05:00,,Economy,IB,IB4634,2018-01-27,17:25:00,2018-01-28,06:45:00,,Economy,IB,1613.010,GBP,S3F2TB,"British Airways",0
1821732,LHR,FLL,FLL,LHR,AC865,2018-01-12,13:00:00,2018-01-12,21:24:00,,Economy,AC,UA1417,2018-01-22,12:40:00,2018-01-23,06:20:00,,Economy,UA,790.420,GBP,QJGRDT,"Air Canada",0
1702955,LHR,SIN,SIN,LHR,BA11,2018-01-12,19:05:00,2018-01-13,15:55:00,,"Premium Economy",BA,BA16,2018-01-23,22:55:00,2018-01-24,04:55:00,,"Premium Economy",BA,2443.140,GBP,WURCIH,"British Airways",0
1796658,LHR,SIN,DPS,LHR,BA11,2018-01-12,19:05:00,2018-01-13,15:55:00,,Economy,BA,BA6372,2018-01-26,09:35:00,2018-01-26,22:00:00,,Economy,BA,2499.880,GBP,S6526N,"British Airways",0
1828723,LGW,MCO,MCO,LGW,DL4396,2018-01-12,13:00:00,2018-01-12,17:35:00,,Economy,DL,DL4397,2018-01-20,20:05:00,2018-01-21,09:05:00,,Economy,DL,912.200,GBP,Q7CDLY,"Virgin Atlantic",0
1831464,LGW,MCO,MCO,LGW,DL4396,2018-01-12,13:00:00,2018-01-12,17:35:00,,"Premium Economy",DL,VS16,2018-01-20,20:05:00,2018-01-21,09:05:00,,"Premium Economy",VS,1994.200,GBP,MSMKIC,"Virgin Atlantic",0
1859357,LGW,DXB,DXB,LGW,EK10,2018-01-12,20:25:00,2018-01-13,07:20:00,,Economy,EK,EK9,2018-01-20,14:35:00,2018-01-20,18:25:00,,Economy,EK,971.940,GBP,UDXYJY,Emirates,0
1759730,LGW,SIN,DPS,LGW,EK16,2018-01-12,13:35:00,2018-01-13,14:40:00,,Economy,EK,EK361,2018-01-28,16:30:00,2018-01-29,06:40:00,,Economy,EK,1060.540,GBP,MT62S2,Emirates,0
1687540,LHR,SIN,DPS,LHR,EK2,2018-01-12,13:40:00,2018-01-13,14:40:00,,Economy,EK,EK361,2018-01-24,16:30:00,2018-01-25,06:50:00,,Economy,EK,1031.740,GBP,MJTB26,Emirates,0
1820191,MAN,DXB,DXB,MAN,EK22,2018-01-12,08:45:00,2018-01-12,19:45:00,,Economy,EK,EK19,2018-01-20,14:40:00,2018-01-20,18:40:00,,Economy,EK,770.480,GBP,JDFWLQ,Emirates,0
1745757,LHR,SIN,DPS,LHR,EK8,2018-01-12,09:10:00,2018-01-13,08:25:00,,Economy,EK,EK361,2018-01-28,16:30:00,2018-01-29,07:10:00,,Economy,EK,1062.940,GBP,UF32PB,Emirates,0
1756512,LHR,SIN,DPS,LHR,EK8,2018-01-12,09:10:00,2018-01-13,08:25:00,,Business,EK,EK361,2018-01-28,16:30:00,2018-01-29,06:50:00,,Business,EK,5556.700,GBP,T4MAX6,Emirates,0
1766351,LHR,SIN,DPS,LHR,EK8,2018-01-12,09:10:00,2018-01-13,08:25:00,,Economy,EK,EK361,2018-01-28,16:30:00,2018-01-29,06:45:00,,Economy,EK,1079.740,GBP,SUZSB9,Emirates,0
1753007,LHR,AUH,SIN,LHR,EY12,2018-01-12,09:00:00,2018-01-12,20:20:00,,Economy,EY,EY473,2018-01-29,19:25:00,2018-01-30,06:40:00,,Economy,EY,1075.740,GBP,WV7IRY,"Etihad Airways",0
1761673,MAN,AUH,KUL,MAN,EY16,2018-01-12,08:10:00,2018-01-12,19:25:00,,Economy,EY,EY411,2018-01-31,19:25:00,2018-02-01,06:40:00,,Economy,EY,929.680,GBP,T5K2JG,"Etihad Airways",0
1780539,LHR,LAS,LAX,LHR,IB4871,2018-01-12,12:15:00,2018-01-12,15:10:00,,Economy,IB,IB4666,2018-01-27,16:30:00,2018-01-28,10:55:00,,Economy,IB,1000.940,GBP,TN42M7,"British Airways",0
1828543,LGW,MCO,MCO,LGW,VS15,2018-01-12,13:00:00,2018-01-12,17:35:00,,Economy,VS,DL4409,2018-01-22,18:45:00,2018-01-23,07:45:00,,Economy,DL,910.600,GBP,OJ5KCT,"Virgin Atlantic",0
1828557,LGW,MCO,MCO,LGW,VS15,2018-01-12,13:00:00,2018-01-12,17:35:00,,Economy,VS,DL4409,2018-01-22,18:45:00,2018-01-23,07:45:00,,Economy,DL,910.600,GBP,OM6IUK,"Virgin Atlantic",0
1828449,MAN,MCO,MCO,MAN,VS75,2018-01-12,11:30:00,2018-01-12,15:55:00,,Economy,VS,VS76,2018-01-31,18:35:00,2018-02-01,07:25:00,,Economy,VS,793.080,GBP,OBGLLP,"Virgin Atlantic",0
1722310,LHR,AUH,SIN,LHR,BA73,2018-01-13,11:45:00,2018-01-13,23:05:00,,Economy,BA,BA12,2018-01-29,23:15:00,2018-01-30,05:15:00,,Economy,BA,828.940,GBP,QXY4PC,"British Airways",0
1738864,DEL,DXB,,,EK517,2018-01-13,16:15:00,2018-01-13,18:35:00,,Economy,EK,,,00:00:00,,00:00:00,,,,423.600,GBP,QE7KVB,Emirates,1
1759012,DEL,DXB,,,EK517,2018-01-13,16:15:00,2018-01-13,18:35:00,,Economy,EK,,,00:00:00,,00:00:00,,,,329.000,GBP,KVBGOL,Emirates,1
1771806,MAN,AUH,SIN,MAN,EY16,2018-01-13,08:10:00,2018-01-13,19:25:00,,Economy,EY,EY473,2018-01-30,19:25:00,2018-01-31,06:40:00,,Economy,EY,846.680,GBP,VB2B8G,"Etihad Airways",0
1636218,DEL,AUH,,,EY229,2018-01-13,09:15:00,2018-01-13,11:50:00,,Economy,EY,,,00:00:00,,00:00:00,,,,650.600,GBP,5Q7PIO,"Etihad Airways",1
1786987,MAN,JED,MED,MAN,SV124,2018-01-13,11:00:00,2018-01-13,20:15:00,,Economy,SV,SV1455,2018-01-23,00:15:00,2018-01-23,08:30:00,,Economy,SV,981.480,GBP,JN23PC,"Saudi Arabian",0
1827772,LHR,MIA,MIA,LHR,VS5,2018-01-13,12:25:00,2018-01-13,17:10:00,,Economy,VS,VS6,2018-01-21,20:45:00,2018-01-22,10:05:00,,Economy,VS,1102.420,GBP,LW2SPZ,"Virgin Atlantic",0
1624732,LGW,GOA,GOA,LGW,BA2688,2018-01-14,08:00:00,2018-01-14,11:10:00,,Economy,BA,BA2689,2018-01-28,11:55:00,2018-01-28,13:05:00,,Economy,BA,223.000,GBP,4T7NF9,"British Airways",0
1742247,LHR,SCL,EZE,LHR,BA516,2018-01-14,18:50:00,2018-01-15,09:05:00,,Economy,BA,BA244,2018-02-02,14:20:00,2018-02-03,06:35:00,,Economy,BA,2129.400,GBP,KXRQ3T,Iberia,0
1625654,AUH,DEL,,,EY224,2018-01-14,14:40:00,2018-01-14,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,223.200,GBP,4WOSSD,"Etihad Airways",1
1686617,AUH,DEL,,,EY224,2018-01-14,14:40:00,2018-01-14,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,304.200,GBP,KBC2MT,"Etihad Airways",1
1694876,AUH,DEL,,,EY224,2018-01-14,14:40:00,2018-01-14,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,302.200,GBP,QOKJB3,"Etihad Airways",1
1742990,AUH,DEL,,,EY224,2018-01-14,14:40:00,2018-01-14,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,161.600,GBP,MOQMRC,"Etihad Airways",1
1752875,AUH,DEL,,,EY224,2018-01-14,14:35:00,2018-01-14,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,183.400,GBP,WOGSNP,"Etihad Airways",1
1768255,AUH,DEL,,,EY224,2018-01-14,14:35:00,2018-01-14,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,245.000,GBP,KVQ5RR,"Etihad Airways",1
1782793,AUH,DEL,,,EY224,2018-01-14,14:35:00,2018-01-14,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,292.200,GBP,LNNVIT,"Etihad Airways",1
1782824,AUH,DEL,,,EY224,2018-01-14,14:35:00,2018-01-14,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,292.200,GBP,LPX67M,"Etihad Airways",1
1785754,AUH,DEL,,,EY224,2018-01-14,14:35:00,2018-01-14,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,294.400,GBP,V8Z6AP,"Etihad Airways",1
1792212,AUH,DEL,,,EY224,2018-01-14,14:35:00,2018-01-14,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,295.600,GBP,VXDJAP,"Etihad Airways",1
1803065,AUH,DEL,,,EY224,2018-01-14,14:35:00,2018-01-14,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,149.500,GBP,K3KAWW,"Etihad Airways",1
1814956,SCL,EZE,,,H2503,2018-01-14,21:10:00,2018-01-14,23:05:00,,Economy,H2,,,00:00:00,,00:00:00,,,,6071.000,ARS,R5QPEK,"SKY Airlines",1
1702687,AEP,SCL,,,LA440,2018-01-14,11:05:00,2018-01-14,13:25:00,,Economy,LA,,,00:00:00,,00:00:00,,,,7194.000,ARS,WNGLQH,"Lan Chile",1
1714231,AEP,SCL,,,LA440,2018-01-14,11:05:00,2018-01-14,13:25:00,,Economy,LA,,,00:00:00,,00:00:00,,,,7259.800,ARS,L5YMBM,"Lan Chile",1
1714247,AEP,SCL,,,LA440,2018-01-14,11:05:00,2018-01-14,13:25:00,,Economy,LA,,,00:00:00,,00:00:00,,,,7259.800,ARS,L6T55S,"Lan Chile",1
