flightid,depcode,arrcode,depdate,arrdate,deptime,arrtime,depterminal,arrterminal,flightno,journey,class,bookingclass
1625653,DEL,DXB,2018-01-20,2018-01-20,10:35:00,13:00:00,,,EK511,in,Economy,
1625653,DXB,BHX,2018-01-20,2018-01-20,14:50:00,18:45:00,,,EK37,in,Economy,
1623864,MAN,DOH,2018-01-01,2018-01-02,21:00:00,06:45:00,,,QR24,out,Economy,
1623864,DOH,AUH,2018-01-02,2018-01-02,08:20:00,10:30:00,,,QR1044,out,Economy,
1623864,DEL,DOH,2018-01-22,2018-01-22,09:45:00,11:35:00,,,QR571,in,Economy,
1623864,DOH,MAN,2018-01-22,2018-01-22,14:40:00,19:20:00,,,QR23,in,Economy,
1709771,GLA,LHR,2018-01-02,2018-01-02,08:55:00,10:25:00,,,BA1477,out,Business,
1709771,LHR,MIA,2018-01-02,2018-01-02,12:35:00,17:40:00,,,BA1526,out,Business,
1709771,SJO,MIA,2018-01-17,2018-01-17,11:38:00,15:45:00,,,AA1238,in,Business,
1709771,MIA,LHR,2018-01-17,2018-01-18,21:00:00,10:30:00,,,AA38,in,Business,
1709771,LHR,GLA,2018-01-18,2018-01-18,13:00:00,14:30:00,,,AA6400,in,Business,
1723487,LHR,MAD,2018-01-02,2018-01-02,10:40:00,14:10:00,,,BA514,out,Economy,
1723487,MAD,HAV,2018-01-02,2018-01-02,16:05:00,20:25:00,,,BA4213,out,Economy,
1723487,HAV,MAD,2018-01-16,2018-01-17,22:15:00,13:10:00,,,BA4214,in,Economy,
1723487,MAD,LHR,2018-01-17,2018-01-17,14:55:00,16:20:00,,,BA7060,in,Economy,
1616264,LHR,KUL,2018-01-02,2018-01-03,10:00:00,07:00:00,,,MH3,out,Economy,
1616264,KUL,SYD,2018-01-03,2018-01-03,08:30:00,19:45:00,,,MH141,out,Economy,
1616264,SYD,KUL,2018-01-21,2018-01-21,14:30:00,19:55:00,,,MH122,in,Economy,
1616264,KUL,LHR,2018-01-21,2018-01-22,23:30:00,05:35:00,,,MH2,in,Economy,
1838013,HKG,NRT,2018-01-02,2018-01-02,10:00:00,15:10:00,,,UA7988,out,Economy,
1838013,NRT,ORD,2018-01-02,2018-01-02,18:45:00,15:30:00,,,UA882,out,Economy,
1838013,ORD,TPA,2018-01-02,2018-01-02,17:34:00,21:14:00,,,UA246,out,Economy,
1838013,TPA,ORD,2018-01-05,2018-01-05,06:15:00,08:08:00,,,UA588,in,Economy,
1838013,ORD,EWR,2018-01-05,2018-01-05,10:35:00,13:46:00,,,UA1510,in,Economy,
1838013,EWR,HKG,2018-01-05,2018-01-06,15:05:00,20:05:00,,,UA179,in,Economy,
1805120,MAN,AUH,2018-01-03,2018-01-03,08:10:00,19:20:00,,,EY16,out,Economy,
1805120,AUH,HKG,2018-01-03,2018-01-04,21:50:00,09:10:00,,,EY834,out,Economy,
1805120,SIN,AUH,2018-01-21,2018-01-21,19:25:00,23:00:00,,,EY473,in,Economy,
1805120,AUH,MAN,2018-01-22,2018-01-22,02:30:00,06:40:00,,,EY15,in,Economy,
1758154,LHR,DOH,2018-01-03,2018-01-03,14:15:00,23:59:00,,,QR4,out,Economy,
1758154,DOH,HKG,2018-01-04,2018-01-04,02:25:00,14:45:00,,,QR818,out,Economy,
1758154,SIN,DOH,2018-01-21,2018-01-21,20:25:00,23:30:00,,,QR947,in,Economy,
1758154,DOH,LHR,2018-01-22,2018-01-22,01:40:00,06:20:00,,,QR9,in,Economy,
1734687,LHR,HKG,2018-01-04,2018-01-05,17:15:00,12:55:00,,,CX238,out,"Premium Economy",
1734687,HKG,PER,2018-01-05,2018-01-05,14:55:00,22:35:00,,,CX171,out,"Premium Economy",
1734687,SYD,HKG,2018-02-04,2018-02-04,15:50:00,21:55:00,,,CX100,in,"Premium Economy",
1734687,HKG,LHR,2018-02-05,2018-02-05,01:00:00,06:20:00,,,CX255,in,"Premium Economy",
1736495,GLA,DUB,2018-01-04,2018-01-04,08:30:00,09:40:00,,,EI3221,out,Economy,
1736495,DUB,JFK,2018-01-04,2018-01-04,10:50:00,13:40:00,,,EI105,out,Economy,
1736495,JFK,DUB,2018-01-08,2018-01-09,21:10:00,08:40:00,,,EI108,in,Economy,
1736495,DUB,GLA,2018-01-09,2018-01-09,10:05:00,11:10:00,,,EI3222,in,Economy,
1786341,LHR,MAD,2018-01-04,2018-01-04,18:35:00,21:55:00,,,IB3167,out,Economy,
1786341,MAD,SCL,2018-01-04,2018-01-05,23:45:00,09:05:00,,,IB6833,out,Economy,
1796081,MAN,DOH,2018-01-04,2018-01-05,20:50:00,06:40:00,,,QR24,out,Economy,
1796081,DOH,HKG,2018-01-05,2018-01-05,09:05:00,21:25:00,,,QR816,out,Economy,
1796081,SIN,DOH,2018-01-21,2018-01-21,20:25:00,23:25:00,,,QR947,in,Economy,
1796081,DOH,MAN,2018-01-22,2018-01-22,01:15:00,05:50:00,,,QR21,in,Economy,
1609819,LHR,SIN,2018-01-04,2018-01-05,09:15:00,06:10:00,,,SQ305,out,Economy,
1609819,SIN,BNE,2018-01-05,2018-01-05,09:45:00,19:45:00,,,SQ245,out,Economy,
1849281,JFK,MCO,2018-01-19,2018-01-19,13:35:00,16:43:00,,,VS4841,in,Economy,
1849281,MCO,MAN,2018-01-19,2018-01-20,18:35:00,07:25:00,,,VS76,in,Economy,
1812068,GLA,LGW,2018-01-05,2018-01-05,07:05:00,08:35:00,,,BA2953,out,Economy,
1812068,LGW,MCO,2018-01-05,2018-01-05,11:35:00,16:25:00,,,BA2037,out,Economy,
1812068,MCO,LGW,2018-01-29,2018-01-30,18:25:00,07:30:00,,,BA2036,in,Economy,
1812068,LGW,GLA,2018-01-30,2018-01-30,11:25:00,12:55:00,,,BA2958,in,Economy,
1731061,MAN,LHR,2018-01-06,2018-01-06,09:55:00,11:05:00,,,BA1389,out,Economy,
1731061,LHR,MIA,2018-01-06,2018-01-06,13:20:00,18:10:00,,,VS5,out,Economy,
1731061,MIA,JFK,2018-01-21,2018-01-21,15:10:00,18:28:00,,,DL1359,in,Economy,
1731061,JFK,MAN,2018-01-21,2018-01-22,19:30:00,07:00:00,,,DL4351,in,Economy,
1738865,EDI,LHR,2018-01-06,2018-01-06,16:35:00,17:55:00,,,BA1455,out,Economy,
1738865,LHR,DEL,2018-01-06,2018-01-07,18:55:00,08:50:00,,,BA257,out,Economy,
1738865,SIN,LHR,2018-01-31,2018-02-01,22:55:00,04:55:00,,,BA16,in,Economy,
1738865,LHR,EDI,2018-02-01,2018-02-01,06:20:00,07:45:00,,,BA1432,in,Economy,
1696933,MAN,DUB,2018-01-06,2018-01-06,08:15:00,09:15:00,,,EI203,out,Economy,
1696933,DUB,MCO,2018-01-06,2018-01-06,14:15:00,19:00:00,,,EI121,out,Economy,
1696933,MCO,DUB,2018-01-25,2018-01-26,20:50:00,09:50:00,,,EI120,in,Economy,
1696933,DUB,MAN,2018-01-26,2018-01-26,11:20:00,12:20:00,,,EI204,in,Economy,
1636219,LGW,DXB,2018-01-06,2018-01-07,13:35:00,00:40:00,,,EK16,out,Economy,
1636219,DXB,DEL,2018-01-07,2018-01-07,04:30:00,09:10:00,,,EK510,out,Economy,
1636219,SIN,DXB,2018-01-29,2018-01-30,21:00:00,01:00:00,,,EK355,in,Economy,
1636219,DXB,LGW,2018-01-30,2018-01-30,02:50:00,06:40:00,,,EK11,in,Economy,
1674262,LGW,DXB,2018-01-06,2018-01-07,13:35:00,00:40:00,,,EK16,out,Economy,
1674262,DXB,SIN,2018-01-07,2018-01-07,03:15:00,14:40:00,,,EK354,out,Economy,
1674262,SIN,DXB,2018-01-24,2018-01-25,21:00:00,01:00:00,,,EK355,in,Economy,
1674262,DXB,LGW,2018-01-25,2018-01-25,02:50:00,06:40:00,,,EK11,in,Economy,
1696981,LHR,DXB,2018-01-06,2018-01-07,13:40:00,00:40:00,,,EK2,out,Economy,
1696981,DXB,SIN,2018-01-07,2018-01-07,03:15:00,14:40:00,,,EK354,out,Economy,
1696981,SIN,DXB,2018-01-20,2018-01-21,21:00:00,01:00:00,,,EK355,in,Economy,
1696981,DXB,LHR,2018-01-21,2018-01-21,02:40:00,06:50:00,,,EK5101,in,Economy,
1696985,LHR,DXB,2018-01-06,2018-01-07,13:40:00,00:40:00,,,EK2,out,Economy,
1696985,DXB,SIN,2018-01-07,2018-01-07,03:15:00,14:40:00,,,EK354,out,Economy,
1696985,SIN,DXB,2018-01-20,2018-01-21,21:00:00,01:00:00,,,EK355,in,Economy,
1696985,DXB,LHR,2018-01-21,2018-01-21,02:40:00,06:50:00,,,EK5101,in,Economy,
1701782,LHR,DXB,2018-01-06,2018-01-07,13:40:00,00:40:00,,,EK2,out,Economy,
1701782,DXB,SIN,2018-01-07,2018-01-07,03:15:00,14:40:00,,,EK354,out,Economy,
1701782,SIN,DXB,2018-01-24,2018-01-25,21:00:00,01:00:00,,,EK355,in,Economy,
1701782,DXB,LHR,2018-01-25,2018-01-25,02:40:00,06:50:00,,,EK5101,in,Economy,
1701798,LHR,DXB,2018-01-06,2018-01-07,13:40:00,00:40:00,,,EK2,out,Economy,
1701798,DXB,SIN,2018-01-07,2018-01-07,03:15:00,14:40:00,,,EK354,out,Economy,
1701798,SIN,DXB,2018-01-24,2018-01-25,21:00:00,01:00:00,,,EK355,in,Economy,
1701798,DXB,LHR,2018-01-25,2018-01-25,02:40:00,06:50:00,,,EK5101,in,Economy,
1759013,LHR,DXB,2018-01-06,2018-01-07,16:15:00,03:00:00,,,EK30,out,Economy,
1759013,DXB,DEL,2018-01-07,2018-01-07,04:00:00,08:40:00,,,EK510,out,Economy,
1759013,SIN,DXB,2018-02-04,2018-02-05,21:00:00,01:00:00,,,EK355,in,Economy,
1759013,DXB,LHR,2018-02-05,2018-02-05,02:40:00,06:45:00,,,EK5101,in,Economy,
1636614,LHR,DXB,2018-01-07,2018-01-07,09:10:00,20:00:00,,,EK8,out,Economy,
1636614,DXB,SIN,2018-01-07,2018-01-08,21:30:00,08:30:00,,,EK352,out,Economy,
1636614,SIN,DXB,2018-01-20,2018-01-21,21:00:00,01:00:00,,,EK355,in,Economy,
1636614,DXB,LHR,2018-01-21,2018-01-21,02:40:00,06:50:00,,,EK5101,in,Economy,
1678837,LHR,DXB,2018-01-07,2018-01-07,09:10:00,20:00:00,,,EK8,out,Economy,
1678837,DXB,SIN,2018-01-07,2018-01-08,21:25:00,08:40:00,,,EK352,out,Economy,
1678837,MEL,DXB,2018-02-10,2018-02-11,23:25:00,06:30:00,,,EK5009,in,Economy,
1678837,DXB,LHR,2018-02-11,2018-02-11,08:30:00,12:40:00,,,EK5109,in,Economy,
1699288,LHR,DXB,2018-01-07,2018-01-07,09:10:00,20:00:00,,,EK8,out,Economy,
1699288,DXB,SIN,2018-01-07,2018-01-08,21:25:00,08:40:00,,,EK352,out,Economy,
1699288,SIN,DXB,2018-01-25,2018-01-25,10:25:00,14:00:00,,,EK353,in,Economy,
1699288,DXB,LHR,2018-01-25,2018-01-25,16:05:00,20:00:00,,,EK5,in,Economy,
1730196,LHR,DXB,2018-01-07,2018-01-07,09:10:00,20:00:00,,,EK8,out,Economy,
1730196,DXB,SIN,2018-01-07,2018-01-08,21:15:00,08:25:00,,,EK352,out,Economy,
1730196,SIN,DXB,2018-01-24,2018-01-25,21:00:00,01:00:00,,,EK355,in,Economy,
1730196,DXB,LHR,2018-01-25,2018-01-25,02:40:00,06:50:00,,,EK5101,in,Economy,
1804306,LHR,DXB,2018-01-07,2018-01-07,09:10:00,20:00:00,,,EK8,out,Economy,
1804306,DXB,SIN,2018-01-07,2018-01-08,21:15:00,08:25:00,,,EK352,out,Economy,
1804306,SIN,DXB,2018-01-24,2018-01-25,21:00:00,01:00:00,,,EK355,in,Economy,
1804306,DXB,LHR,2018-01-25,2018-01-25,02:40:00,06:45:00,,,EK5101,in,Economy,
1783363,BHD,LHR,2018-01-08,2018-01-08,13:05:00,14:25:00,,,EI34,out,Economy,
1783363,LHR,DXB,2018-01-08,2018-01-09,21:40:00,08:35:00,,,BA109,out,Economy,
1783363,DXB,LHR,2018-01-12,2018-01-12,02:25:00,06:25:00,,,BA106,in,Economy,
1783363,LHR,BHD,2018-01-12,2018-01-12,11:05:00,12:25:00,,,BA2131,in,Economy,
1706530,MAN,DXB,2018-01-10,2018-01-10,08:45:00,19:45:00,,,EK22,out,Economy,
1706530,DXB,HKT,2018-01-10,2018-01-11,23:00:00,08:00:00,,,EK396,out,Economy,
1706530,HKT,DXB,2018-01-24,2018-01-24,00:50:00,04:25:00,,,EK379,in,Economy,
1706530,DXB,MAN,2018-01-24,2018-01-24,07:15:00,11:20:00,,,EK17,in,Economy,
1736775,LHR,CDG,2018-01-11,2018-01-11,06:15:00,08:30:00,,,AF1081,out,Economy,
1736775,CDG,AUH,2018-01-11,2018-01-11,10:30:00,20:20:00,,,AF3800,out,Economy,
1736775,SIN,CDG,2018-01-29,2018-01-30,23:05:00,06:10:00,,,AF257,in,Economy,
1736775,CDG,LHR,2018-01-30,2018-01-30,07:20:00,07:45:00,,,AF1680,in,Economy,
1821732,LHR,YUL,2018-01-12,2018-01-12,13:00:00,15:25:00,,,AC865,out,Economy,
1821732,YUL,FLL,2018-01-12,2018-01-12,17:45:00,21:24:00,,,AC1606,out,Economy,
1821732,FLL,EWR,2018-01-22,2018-01-22,12:40:00,15:47:00,,,UA1417,in,Economy,
1821732,EWR,LHR,2018-01-22,2018-01-23,18:15:00,06:20:00,,,UA110,in,Economy,
1796658,DPS,DOH,2018-01-26,2018-01-26,09:35:00,15:00:00,,,BA6372,in,Economy,
1796658,DOH,LHR,2018-01-26,2018-01-26,17:25:00,22:00:00,,,BA7005,in,Economy,
1759730,LGW,DXB,2018-01-12,2018-01-13,13:35:00,00:40:00,,,EK16,out,Economy,
1759730,DXB,SIN,2018-01-13,2018-01-13,03:15:00,14:40:00,,,EK354,out,Economy,
1759730,DPS,DXB,2018-01-28,2018-01-28,16:30:00,21:50:00,,,EK361,in,Economy,
1759730,DXB,LGW,2018-01-29,2018-01-29,02:50:00,06:40:00,,,EK11,in,Economy,
1687540,LHR,DXB,2018-01-12,2018-01-13,13:40:00,00:40:00,,,EK2,out,Economy,
1687540,DXB,SIN,2018-01-13,2018-01-13,03:15:00,14:40:00,,,EK354,out,Economy,
1687540,DPS,DXB,2018-01-24,2018-01-24,16:30:00,21:50:00,,,EK361,in,Economy,
1687540,DXB,LHR,2018-01-25,2018-01-25,02:40:00,06:50:00,,,EK5101,in,Economy,
1745757,LHR,DXB,2018-01-12,2018-01-12,09:10:00,20:00:00,,,EK8,out,Economy,
1745757,DXB,SIN,2018-01-12,2018-01-13,21:15:00,08:25:00,,,EK352,out,Economy,
1745757,DPS,DXB,2018-01-28,2018-01-28,16:30:00,21:50:00,,,EK361,in,Economy,
1745757,DXB,LHR,2018-01-29,2018-01-29,03:10:00,07:10:00,,,EK7,in,Economy,
1756512,LHR,DXB,2018-01-12,2018-01-12,09:10:00,20:00:00,,,EK8,out,Business,
1756512,DXB,SIN,2018-01-12,2018-01-13,21:15:00,08:25:00,,,EK352,out,Business,
1756512,DPS,DXB,2018-01-28,2018-01-28,16:30:00,21:50:00,,,EK361,in,Business,
1756512,DXB,LHR,2018-01-29,2018-01-29,02:40:00,06:50:00,,,EK5101,in,Business,
1766351,LHR,DXB,2018-01-12,2018-01-12,09:10:00,20:00:00,,,EK8,out,Economy,
1766351,DXB,SIN,2018-01-12,2018-01-13,21:15:00,08:25:00,,,EK352,out,Economy,
1766351,DPS,DXB,2018-01-28,2018-01-28,16:30:00,21:50:00,,,EK361,in,Economy,
1766351,DXB,LHR,2018-01-29,2018-01-29,02:40:00,06:45:00,,,EK5101,in,Economy,
1753007,SIN,AUH,2018-01-29,2018-01-29,19:25:00,23:00:00,,,EY473,in,Economy,
1753007,AUH,LHR,2018-01-30,2018-01-30,02:25:00,06:40:00,,,EY11,in,Economy,
1761673,KUL,AUH,2018-01-31,2018-01-31,19:25:00,23:00:00,,,EY411,in,Economy,
1761673,AUH,MAN,2018-02-01,2018-02-01,02:30:00,06:40:00,,,EY15,in,Economy,
1771806,SIN,AUH,2018-01-30,2018-01-30,19:25:00,23:00:00,,,EY473,in,Economy,
1771806,AUH,MAN,2018-01-31,2018-01-31,02:30:00,06:40:00,,,EY15,in,Economy,
1786987,MED,JED,2018-01-23,2018-01-23,00:15:00,01:20:00,,,SV1455,in,Economy,
1786987,JED,MAN,2018-01-23,2018-01-23,04:45:00,08:30:00,,,SV123,in,Economy,
1742247,LHR,MAD,2018-01-14,2018-01-14,18:50:00,22:15:00,,,BA516,out,Economy,
1742247,MAD,SCL,2018-01-14,2018-01-15,23:45:00,09:05:00,,,BA4289,out,Economy,
1734686,PER,SYD,2018-01-14,2018-01-15,22:55:00,06:05:00,,,VA570,out,Economy,
1734686,SYD,AKL,2018-01-15,2018-01-15,09:45:00,14:55:00,,,VA7402,out,Economy,
1663110,GLA,LHR,2018-01-15,2018-01-15,07:55:00,09:25:00,,,BA1473,out,Economy,
1663110,LHR,LAS,2018-01-15,2018-01-15,12:15:00,14:55:00,,,IB4871,out,Economy,
1663110,LAX,LHR,2018-02-03,2018-02-04,16:35:00,10:55:00,,,BA282,in,Economy,
1663110,LHR,GLA,2018-02-04,2018-02-04,14:55:00,16:25:00,,,BA1486,in,Economy,
1691049,DUB,LGW,2018-01-15,2018-01-15,06:20:00,07:55:00,,,EI230,out,Economy,
1691049,LGW,LAS,2018-01-15,2018-01-15,10:35:00,13:20:00,,,VS43,out,Economy,
1691049,LAX,LHR,2018-02-02,2018-02-03,21:00:00,15:10:00,,,VS24,in,Economy,
1691049,LHR,DUB,2018-02-03,2018-02-03,17:45:00,19:05:00,,,EI173,in,Economy,
1723339,LAX,MCO,2018-01-28,2018-01-28,10:10:00,18:00:00,,,VS2210,in,Economy,
1723339,MCO,LGW,2018-01-28,2018-01-29,18:45:00,07:45:00,,,VS28,in,Economy,
1838183,LHR,MAD,2018-01-17,2018-01-17,19:20:00,22:45:00,,,IB3173,out,Economy,
1838183,MAD,SCL,2018-01-17,2018-01-18,23:55:00,09:40:00,,,IB7319,out,Economy,
1862110,DXB,BEY,2018-01-17,2018-01-17,03:10:00,04:45:00,,,ME431,out,Economy,
1862110,BEY,LHR,2018-01-17,2018-01-17,07:35:00,10:45:00,,,ME201,out,Economy,
1862110,LHR,BEY,2018-01-24,2018-01-25,22:00:00,04:50:00,,,ME204,in,Economy,
1862110,BEY,DXB,2018-01-25,2018-01-26,21:00:00,02:10:00,,,ME430,in,Economy,
1727098,BHX,BRU,2018-01-17,2018-01-17,06:20:00,08:35:00,,,UA9910,out,Economy,
1727098,BRU,EWR,2018-01-17,2018-01-17,10:10:00,13:10:00,,,UA998,out,Economy,
1727098,EWR,BWI,2018-01-17,2018-01-17,14:59:00,15:59:00,,,UA4420,out,Economy,
1727098,BWI,EWR,2018-02-01,2018-02-01,16:51:00,18:11:00,,,UA4433,in,Economy,
1727098,EWR,BHX,2018-02-01,2018-02-02,19:25:00,07:10:00,,,UA27,in,Economy,
1778960,LGW,TPA,2018-01-18,2018-01-18,12:50:00,17:45:00,,,AA6211,out,Economy,
1778960,TPA,MIA,2018-01-19,2018-01-19,06:40:00,07:43:00,,,AA1332,out,Economy,
1778960,MIA,TPA,2018-01-21,2018-01-21,21:35:00,22:43:00,,,AA2577,in,Economy,
1778960,TPA,LGW,2018-01-22,2018-01-23,19:25:00,08:45:00,,,AA6209,in,Economy,
1649815,SYD,LAX,2018-01-18,2018-01-18,11:15:00,06:10:00,,,AA72,out,Economy,
1649815,LAX,MIA,2018-01-18,2018-01-18,09:35:00,17:39:00,,,AA1088,out,Economy,
1762730,MAN,LHR,2018-01-18,2018-01-18,17:00:00,18:00:00,,,BA1403,out,Economy,
1762730,LHR,SIN,2018-01-18,2018-01-19,19:05:00,15:55:00,,,BA11,out,Economy,
1762730,HKG,LHR,2018-02-04,2018-02-05,23:30:00,04:45:00,,,BA32,in,Economy,
1762730,LHR,MAN,2018-02-05,2018-02-05,07:10:00,08:15:00,,,BA1370,in,Economy,
1799731,EDI,LHR,2018-01-18,2018-01-18,18:55:00,20:20:00,,,BA1459,out,Economy,
1799731,LHR,SCL,2018-01-18,2018-01-19,22:00:00,09:45:00,,,BA251,out,Economy,
1799731,EZE,LHR,2018-02-05,2018-02-06,14:20:00,06:35:00,,,BA244,in,Economy,
1799731,LGW,EDI,2018-02-06,2018-02-06,10:00:00,11:30:00,,,BA2938,in,Economy,
1822866,LHR,HKG,2018-01-18,2018-01-19,11:20:00,07:00:00,,,CX252,out,Economy,
1822866,HKG,SIN,2018-01-19,2018-01-19,08:10:00,11:55:00,,,CX691,out,Economy,
1822866,DPS,HKG,2018-02-02,2018-02-02,16:05:00,21:00:00,,,CX784,in,Economy,
1822866,HKG,LHR,2018-02-03,2018-02-03,01:00:00,06:20:00,,,CX255,in,Economy,
1709812,MAN,DXB,2018-01-18,2018-01-19,13:10:00,00:25:00,,,EK18,out,Economy,
1709812,DXB,DPS,2018-01-19,2018-01-19,01:25:00,14:30:00,,,EK360,out,Economy,
1709812,SYD,DXB,2018-02-08,2018-02-09,16:45:00,00:40:00,,,EK5001,in,Economy,
1709812,DXB,MAN,2018-02-09,2018-02-09,07:15:00,11:20:00,,,EK17,in,Economy,
1709876,LHR,DXB,2018-01-18,2018-01-19,20:20:00,07:05:00,,,EK4,out,Economy,
1709876,DXB,DPS,2018-01-19,2018-01-19,08:55:00,22:00:00,,,EK398,out,Economy,
1709876,SYD,DXB,2018-02-08,2018-02-09,21:45:00,05:15:00,,,EK413,in,Economy,
1709876,DXB,LHR,2018-02-09,2018-02-09,08:30:00,12:40:00,,,EK5109,in,Economy,
1760623,MAN,FRA,2018-01-18,2018-01-18,09:20:00,12:05:00,,,LH941,out,Economy,
1760623,FRA,MCO,2018-01-18,2018-01-18,13:40:00,17:50:00,,,UA9065,out,Economy,
1760623,MCO,FRA,2018-02-01,2018-02-02,20:05:00,10:55:00,,,UA9054,in,Economy,
1760623,FRA,MAN,2018-02-02,2018-02-02,13:10:00,13:50:00,,,LH938,in,Economy,
1778389,LHR,KUL,2018-01-18,2018-01-19,10:00:00,07:00:00,,,MH3,out,Economy,
1778389,KUL,DPS,2018-01-19,2018-01-19,09:00:00,12:05:00,,,MH715,out,Economy,
1778389,SYD,KUL,2018-02-22,2018-02-22,14:20:00,19:55:00,,,MH122,in,Economy,
1778389,KUL,LHR,2018-02-22,2018-02-23,23:30:00,05:35:00,,,MH2,in,Economy,
1621317,LHR,DOH,2018-01-19,2018-01-20,21:30:00,07:20:00,,,BA123,out,Economy,
1621317,DOH,SIN,2018-01-20,2018-01-20,08:55:00,21:30:00,,,QR944,out,Economy,
1621317,SIN,DOH,2018-02-08,2018-02-08,20:25:00,23:30:00,,,QR947,in,Economy,
1621317,DOH,LHR,2018-02-09,2018-02-09,01:40:00,06:20:00,,,QR9,in,Economy,
1742184,MAN,LHR,2018-01-19,2018-01-19,09:55:00,11:05:00,,,BA1389,out,Economy,
1742184,LHR,MIA,2018-01-19,2018-01-19,13:20:00,18:10:00,,,VS5,out,Economy,
1742184,MIA,ATL,2018-01-27,2018-01-27,13:45:00,15:45:00,,,VS5228,in,Economy,
1742184,ATL,MAN,2018-01-27,2018-01-28,18:00:00,07:00:00,,,VS110,in,Economy,
1824716,MAN,DUB,2018-01-19,2018-01-19,08:10:00,09:15:00,,,EI203,out,Economy,
1824716,DUB,MIA,2018-01-19,2018-01-19,15:15:00,19:30:00,,,EI141,out,Economy,
1824716,MIA,DUB,2018-02-04,2018-02-05,21:20:00,10:45:00,,,EI140,in,Economy,
1824716,DUB,MAN,2018-02-05,2018-02-05,12:15:00,13:15:00,,,EI204,in,Economy,
1796428,BHX,DUB,2018-01-19,2018-01-19,12:00:00,13:20:00,,,EI3265,out,Economy,
1796428,DUB,MIA,2018-01-19,2018-01-19,15:15:00,19:30:00,,,EI141,out,Economy,
1796428,MIA,DUB,2018-02-04,2018-02-05,21:20:00,10:45:00,,,EI140,in,Economy,
1796428,DUB,BHX,2018-02-05,2018-02-05,11:45:00,13:05:00,,,EI3272,in,Economy,
1800113,MAN,DUB,2018-01-19,2018-01-19,11:35:00,12:50:00,,,EI3323,out,Economy,
1800113,DUB,MIA,2018-01-19,2018-01-19,15:15:00,19:30:00,,,EI141,out,Economy,
1800113,MIA,DUB,2018-02-04,2018-02-05,21:20:00,10:45:00,,,EI140,in,Economy,
1800113,DUB,MAN,2018-02-05,2018-02-05,12:15:00,13:15:00,,,EI204,in,Economy,
1715878,LGW,DXB,2018-01-19,2018-01-20,20:25:00,07:20:00,,,EK10,out,Economy,
1715878,DXB,DPS,2018-01-20,2018-01-20,08:55:00,22:00:00,,,EK398,out,Economy,
1715878,SYD,DXB,2018-02-08,2018-02-09,21:45:00,05:15:00,,,EK413,in,Economy,
1715878,DXB,LGW,2018-02-09,2018-02-09,07:40:00,11:40:00,,,EK15,in,Economy,
1755713,MAN,DXB,2018-01-19,2018-01-19,08:45:00,19:45:00,,,EK22,out,Economy,
1755713,DXB,SIN,2018-01-19,2018-01-20,21:15:00,08:25:00,,,EK352,out,Economy,
1755713,HKG,DXB,2018-02-05,2018-02-05,17:55:00,23:05:00,,,EK383,in,Economy,
1755713,DXB,MAN,2018-02-06,2018-02-06,03:00:00,07:00:00,,,EK21,in,Economy,
1819882,GLA,KEF,2018-01-19,2018-01-19,12:55:00,15:15:00,,,FI431,out,Economy,
1819882,KEF,MCO,2018-01-19,2018-01-19,17:15:00,20:10:00,,,FI689,out,Economy,
